asof_timestamp_utc,bin,probability,probability_pct
2026-01-30T00:00:00Z,≤3.8%,0.030000000000000027,3.0
2026-01-30T00:00:00Z,"(3.8%, 3.9%]",0.0,0.0
2026-01-30T00:00:00Z,"(3.9%, 4.0%]",0.010000000000000009,1.0
2026-01-30T00:00:00Z,"(4.0%, 4.1%]",0.0,0.0
2026-01-30T00:00:00Z,"(4.1%, 4.2%]",0.03949999999999998,3.95
2026-01-30T00:00:00Z,"(4.2%, 4.3%]",0.1602,16.02
2026-01-30T00:00:00Z,"(4.3%, 4.4%]",0.3242,32.42
2026-01-30T00:00:00Z,"(4.4%, 4.5%]",0.22569999999999998,22.57
2026-01-30T00:00:00Z,"(4.5%, 4.6%]",0.1543,15.43
2026-01-30T00:00:00Z,"(4.6%, 4.7%]",0.0461,4.61
2026-01-30T00:00:00Z,>4.7%,0.01,1.0
