asof_timestamp,ticker,strike,yes_bid,yes_ask,mid,last_price,yes_price,volume
2026-02-02T01:14:46Z,KXU3-26JAN-T3.8,3.8,99.0,,,99,99.0,267
2026-02-02T01:14:46Z,KXU3-26JAN-T3.9,3.9,99.0,,,98,98.0,1549
2026-02-02T01:14:46Z,KXU3-26JAN-T4.0,4.0,99.0,,,96,96.0,200
2026-02-02T01:14:46Z,KXU3-26JAN-T4.1,4.1,97.0,,,97,97.0,121
2026-02-02T01:14:46Z,KXU3-26JAN-T4.2,4.2,90.0,91.0,90.5,91,90.5,67738
2026-02-02T01:14:46Z,KXU3-26JAN-T4.3,4.3,62.0,63.0,62.5,62,62.5,73914
2026-02-02T01:14:46Z,KXU3-26JAN-T4.4,4.4,32.0,33.0,32.5,33,32.5,75651
2026-02-02T01:14:46Z,KXU3-26JAN-T4.5,4.5,10.0,11.0,10.5,11,10.5,34548
2026-02-02T01:14:46Z,KXU3-26JAN-T4.6,4.6,3.0,4.0,3.5,3,3.5,17821
2026-02-02T01:14:46Z,KXU3-26JAN-T4.7,4.7,,3.0,,3,3.0,7809
